Date,fb,aapl,amzn,nflx,googl
2019-01-23,199.97733,263.38647,1731.6522,308.46155,1322.1488
2019-01-24,199.88638,263.66824,1731.7012,312.82303,1318.5044
2019-01-25,199.37389,264.61334,1746.2722,316.46344,1315.8634
2019-01-28,201.1826,265.3744,1773.2595,318.63022,1321.826
2019-01-29,201.5875,265.4161,1795.732,324.11002,1326.3969
2019-01-30,201.93845,265.30197,1800.7444,330.38458,1320.5151
2019-01-31,200.57426,265.62204,1802.5054,331.76187,1303.852
2019-02-01,199.9589,265.8127,1795.3169,327.95615,1305.1631
2019-02-04,195.0114,264.45193,1777.8904,320.53415,1318.9689
2019-02-05,196.09135,265.20142,1756.7373,314.84332,1332.8053
2019-02-06,196.44724,267.11713,1745.9675,315.39392,1341.6161
2019-02-07,196.06781,267.64578,1741.4015,314.40503,1338.9005
2019-02-08,195.97737,269.00085,1736.5085,306.5868,1345.6863
2019-02-11,198.79588,270.25604,1732.213,297.5644,1348.6736
2019-02-12,194.06003,271.02216,1736.2854,293.5128,1350.1942
2019-02-13,188.24414,272.21335,1738.381,294.12833,1342.6255
2019-02-14,187.56113,272.42834,1746.8647,296.96613,1351.9706
2019-02-15,188.46562,273.67914,1770.3776,302.4098,1346.571
2019-02-19,191.25471,274.4883,1784.9738,308.86038,1350.761
2019-02-20,195.38423,274.90488,1796.6606,319.12634,1351.6521
2019-02-21,198.712,275.08237,1799.0577,331.36942,1346.0134
2019-02-22,200.02158,275.10757,1796.4852,343.44778,1349.9362
