,sentiment,totalScores,positive,negative
2017-06-20 00:00:00,0.02257794117647059,68,0.81,0.19
2017-06-21 00:00:00,0.08166033613445378,595,0.82,0.18
2017-06-22 00:00:00,0.08348879781420765,732,0.81,0.19
2017-06-23 00:00:00,0.06809972752043597,734,0.78,0.22
2017-06-24 00:00:00,0.06149477611940298,134,0.8,0.2
2017-06-25 00:00:00,0.14907872340425532,141,0.89,0.11
2017-06-26 00:00:00,0.0990864598025388,709,0.83,0.17
2017-06-27 00:00:00,0.041290281329923274,782,0.77,0.23
2017-06-28 00:00:00,0.05857656903765691,956,0.77,0.23
2017-06-29 00:00:00,0.08137416666666666,1080,0.78,0.22
2017-06-30 00:00:00,0.07201082317073171,656,0.8,0.2
2017-07-01 00:00:00,0.0673968253968254,126,0.83,0.17
2017-07-02 00:00:00,0.017705263157894738,133,0.82,0.18
2017-07-03 00:00:00,0.04481858407079646,565,0.8,0.2
2017-07-04 00:00:00,-0.016446129032258065,310,0.82,0.18
2017-07-05 00:00:00,0.06976288492706645,617,0.78,0.22
2017-07-06 00:00:00,0.02173471645919779,723,0.75,0.25
2017-07-07 00:00:00,0.09776931464174454,642,0.81,0.19
2017-07-08 00:00:00,0.052311805555555556,144,0.81,0.19
2017-07-09 00:00:00,0.081148,125,0.89,0.11
2017-07-10 00:00:00,0.07667919293820934,793,0.8,0.2
2017-07-11 00:00:00,0.0041320936639118455,726,0.75,0.25
2017-07-12 00:00:00,0.11496334478808705,873,0.79,0.21
2017-07-13 00:00:00,0.06378738049713192,1046,0.78,0.22
2017-07-14 00:00:00,0.08568382687927108,878,0.81,0.19
2017-07-15 00:00:00,0.1403582191780822,146,0.84,0.16
2017-07-16 00:00:00,0.086594375,160,0.89,0.11
2017-07-17 00:00:00,0.15574813710879284,671,0.86,0.14
2017-07-18 00:00:00,0.10421927710843373,664,0.8,0.2
2017-07-19 00:00:00,0.08655111989459816,759,0.8,0.2
2017-07-20 00:00:00,0.08607606837606838,585,0.81,0.19
2017-07-21 00:00:00,0.08749100169779288,589,0.84,0.16
2017-07-22 00:00:00,0.09171020408163266,147,0.86,0.14
2017-07-23 00:00:00,0.04598529411764706,102,0.89,0.11
2017-07-24 00:00:00,0.08894984894259818,662,0.83,0.17
2017-07-25 00:00:00,0.07121047904191617,668,0.81,0.19
2017-07-26 00:00:00,0.0909549180327869,610,0.82,0.18
2017-07-27 00:00:00,0.009031937984496124,1290,0.75,0.25
2017-07-28 00:00:00,0.0490530106257379,847,0.81,0.19
2017-07-29 00:00:00,0.06268682926829268,205,0.86,0.14
2017-07-30 00:00:00,0.009547787610619468,226,0.81,0.19
2017-07-31 00:00:00,0.034921092077087795,934,0.78,0.22
2017-08-01 00:00:00,0.09628425806451613,4650,0.82,0.18
2017-08-02 00:00:00,0.029527642980935874,3462,0.73,0.27
2017-08-03 00:00:00,0.022903819784524975,1021,0.74,0.26
