,sentiment,totalScores,positive,negative
2017-06-20 00:00:00,0.052196385542168676,83,0.81,0.19
2017-06-21 00:00:00,0.028891377245508984,835,0.79,0.21
2017-06-22 00:00:00,0.06395174603174603,630,0.83,0.17
2017-06-23 00:00:00,0.07313969696969697,660,0.85,0.15
2017-06-24 00:00:00,0.053932820512820515,195,0.84,0.16
2017-06-25 00:00:00,0.02821581920903955,177,0.82,0.18
2017-06-26 00:00:00,0.08500015432098766,648,0.81,0.19
2017-06-27 00:00:00,-0.027573455056179776,712,0.73,0.27
2017-06-28 00:00:00,0.04386459554513482,853,0.8,0.2
2017-06-29 00:00:00,0.06727592008412198,951,0.79,0.21
2017-06-30 00:00:00,-0.003929701492537313,670,0.73,0.27
2017-07-01 00:00:00,0.004702112676056338,142,0.8,0.2
2017-07-02 00:00:00,0.014247272727272726,110,0.82,0.18
2017-07-03 00:00:00,0.007584615384615384,702,0.76,0.24
2017-07-04 00:00:00,-0.06761007556675064,397,0.77,0.23
2017-07-05 00:00:00,0.0717079734219269,602,0.82,0.18
2017-07-06 00:00:00,0.04168465703971119,554,0.79,0.21
2017-07-07 00:00:00,0.12677405857740587,478,0.86,0.14
2017-07-08 00:00:00,0.012597202797202797,143,0.84,0.16
2017-07-09 00:00:00,0.0041158940397351,151,0.81,0.19
2017-07-10 00:00:00,0.13411111111111113,774,0.86,0.14
2017-07-11 00:00:00,0.08137344632768362,885,0.8,0.2
2017-07-12 00:00:00,0.15142860998650473,741,0.88,0.12
2017-07-13 00:00:00,0.030824878048780487,615,0.78,0.22
2017-07-14 00:00:00,0.06586148007590134,527,0.81,0.19
2017-07-15 00:00:00,0.030339766081871347,171,0.86,0.14
2017-07-16 00:00:00,0.036564383561643835,146,0.89,0.11
2017-07-17 00:00:00,0.04502725832012678,631,0.8,0.2
2017-07-18 00:00:00,0.09141782762691852,847,0.82,0.18
2017-07-19 00:00:00,0.08857348242811502,626,0.83,0.17
2017-07-20 00:00:00,0.0014174193548387097,775,0.75,0.25
2017-07-21 00:00:00,0.034345809414466126,871,0.79,0.21
2017-07-22 00:00:00,0.049435483870967745,186,0.85,0.15
2017-07-23 00:00:00,-0.008157236842105264,152,0.83,0.17
2017-07-24 00:00:00,0.10023766617429837,677,0.85,0.15
2017-07-25 00:00:00,0.08028011363636364,528,0.84,0.16
2017-07-26 00:00:00,0.12194472222222223,720,0.85,0.15
2017-07-27 00:00:00,0.0006724071702944942,4686,0.75,0.25
2017-07-28 00:00:00,-0.0038437976716178238,2491,0.72,0.28
2017-07-29 00:00:00,0.016377966101694914,177,0.82,0.18
2017-07-30 00:00:00,-0.03455222222222222,180,0.79,0.21
2017-07-31 00:00:00,-0.02354637931034483,1160,0.69,0.31
2017-08-01 00:00:00,0.08544647727272726,880,0.79,0.21
2017-08-02 00:00:00,0.02761785252263907,773,0.75,0.25
2017-08-03 00:00:00,0.017841750358680058,697,0.76,0.24
2017-08-04 00:00:00,0.04403265007320644,683,0.77,0.23
2017-08-05 00:00:00,-0.020368,100,0.75,0.25
2017-08-06 00:00:00,-0.015705982905982904,117,0.83,0.17
2017-08-07 00:00:00,0.06317459165154264,551,0.8,0.2
2017-08-08 00:00:00,0.0407359375,640,0.78,0.22
2017-08-09 00:00:00,0.01264108187134503,684,0.74,0.26
2017-08-10 00:00:00,-0.022569002375296913,842,0.72,0.28
2017-08-11 00:00:00,0.003809077380952381,672,0.74,0.26
2017-08-12 00:00:00,0.006087951807228915,83,0.78,0.22
