,sentiment,totalScores,positive,negative
2017-06-20 00:00:00,0.08184545454545454,33,0.88,0.12
2017-06-21 00:00:00,0.03418843187660669,389,0.79,0.21
2017-06-22 00:00:00,0.0728181506849315,292,0.85,0.15
2017-06-23 00:00:00,0.11250263157894738,342,0.88,0.12
2017-06-24 00:00:00,0.004434567901234568,81,0.8,0.2
2017-06-25 00:00:00,0.09717763157894738,76,0.88,0.12
2017-06-26 00:00:00,0.0751435294117647,510,0.84,0.16
2017-06-27 00:00:00,0.05347665289256198,484,0.79,0.21
2017-06-28 00:00:00,0.03859397321428571,448,0.77,0.23
2017-06-29 00:00:00,0.06966328828828829,444,0.79,0.21
2017-06-30 00:00:00,0.043247916666666664,288,0.78,0.22
2017-07-01 00:00:00,0.06399324324324325,74,0.86,0.14
2017-07-02 00:00:00,0.08767173913043477,92,0.85,0.15
2017-07-03 00:00:00,0.056429295774647885,355,0.79,0.21
2017-07-04 00:00:00,0.026795906432748536,171,0.81,0.19
2017-07-05 00:00:00,0.12047583643122677,269,0.81,0.19
2017-07-06 00:00:00,0.06998029739776952,269,0.82,0.18
2017-07-07 00:00:00,0.13638611111111112,288,0.86,0.14
2017-07-08 00:00:00,-0.01963222222222222,90,0.76,0.24
2017-07-09 00:00:00,0.060304597701149425,87,0.83,0.17
2017-07-10 00:00:00,0.14444815864022664,353,0.85,0.15
2017-07-11 00:00:00,0.07784508670520232,519,0.8,0.2
2017-07-12 00:00:00,0.16194343575418993,716,0.84,0.16
2017-07-13 00:00:00,0.1219349765258216,426,0.85,0.15
2017-07-14 00:00:00,0.13255,430,0.86,0.14
2017-07-15 00:00:00,0.05194436090225564,133,0.83,0.17
2017-07-16 00:00:00,0.03300761904761905,105,0.85,0.15
2017-07-17 00:00:00,0.12102631578947368,285,0.83,0.17
2017-07-18 00:00:00,0.12707795698924731,558,0.86,0.14
2017-07-19 00:00:00,0.14683045454545454,660,0.85,0.15
2017-07-20 00:00:00,0.042279166666666666,360,0.8,0.2
2017-07-21 00:00:00,0.10016904761904762,378,0.85,0.15
2017-07-22 00:00:00,0.02818125,160,0.81,0.19
2017-07-23 00:00:00,0.028803007518796993,133,0.83,0.17
2017-07-24 00:00:00,0.11898486590038315,522,0.85,0.15
2017-07-25 00:00:00,0.09317861736334404,622,0.83,0.17
2017-07-26 00:00:00,0.08541451733599402,4009,0.79,0.21
2017-07-27 00:00:00,0.09027911589685464,3529,0.77,0.23
2017-07-28 00:00:00,0.13210165394402038,786,0.8,0.2
2017-07-29 00:00:00,0.09718558558558558,111,0.86,0.14
2017-07-30 00:00:00,0.13730827586206898,145,0.91,0.09
2017-07-31 00:00:00,-0.02667991803278688,732,0.69,0.31
2017-08-01 00:00:00,0.08669359698681733,531,0.82,0.18
2017-08-02 00:00:00,0.04113570093457944,535,0.76,0.24
2017-08-03 00:00:00,0.017417847769028872,381,0.78,0.22
2017-08-04 00:00:00,0.11018052631578948,380,0.83,0.17
2017-08-05 00:00:00,-0.03328958333333334,96,0.82,0.18
2017-08-06 00:00:00,-0.0021308510638297874,94,0.83,0.17
2017-08-07 00:00:00,0.17524022346368714,358,0.87,0.13
2017-08-08 00:00:00,0.05669022004889975,409,0.8,0.2
2017-08-09 00:00:00,0.0011129533678756476,386,0.8,0.2
2017-08-10 00:00:00,0.010212382445141067,638,0.78,0.22
2017-08-11 00:00:00,0.011982325581395349,430,0.77,0.23
2017-08-12 00:00:00,-0.030685185185185187,108,0.81,0.19
2017-08-13 00:00:00,-0.012137662337662338,77,0.82,0.18
2017-08-14 00:00:00,0.07534147909967846,311,0.82,0.18
2017-08-15 00:00:00,0.057424584717607974,301,0.83,0.17
2017-08-16 00:00:00,0.06166346153846154,416,0.8,0.2
2017-08-17 00:00:00,0.05373641304347826,368,0.77,0.23
2017-08-18 00:00:00,0.10568057324840766,314,0.82,0.18
2017-08-19 00:00:00,-0.041999999999999996,90,0.81,0.19
2017-08-20 00:00:00,0.0806375,72,0.82,0.18
2017-08-21 00:00:00,0.09865860655737706,244,0.8,0.2
2017-08-22 00:00:00,0.06696692111959288,393,0.81,0.19
2017-08-23 00:00:00,0.033688853503184714,314,0.78,0.22
2017-08-24 00:00:00,0.06728874680306905,391,0.77,0.23
2017-08-25 00:00:00,0.056028618421052626,304,0.78,0.22
2017-08-26 00:00:00,0.055008749999999995,80,0.9,0.1
2017-08-27 00:00:00,0.12723333333333334,105,0.88,0.12
