,sentiment,totalScores,positive,negative
2017-06-20 00:00:00,0.2659777777777778,9,1.0,0.0
2017-06-21 00:00:00,-0.0020522388059701496,134,0.79,0.21
2017-06-22 00:00:00,0.011248275862068965,116,0.84,0.16
2017-06-23 00:00:00,0.10562535211267605,142,0.88,0.12
2017-06-24 00:00:00,-0.0777974358974359,39,0.74,0.26
2017-06-25 00:00:00,0.15277241379310344,29,0.93,0.07
2017-06-26 00:00:00,-0.022817894736842106,190,0.81,0.19
2017-06-27 00:00:00,-0.016882915717539863,439,0.79,0.21
2017-06-28 00:00:00,-0.010198327759197325,299,0.78,0.22
2017-06-29 00:00:00,0.02682782258064516,248,0.76,0.24
2017-06-30 00:00:00,0.01071987951807229,166,0.74,0.26
2017-07-01 00:00:00,0.0327537037037037,54,0.78,0.22
2017-07-02 00:00:00,-0.13105833333333333,36,0.69,0.31
2017-07-03 00:00:00,0.031881182795698924,186,0.79,0.21
2017-07-04 00:00:00,-0.07481826923076923,104,0.72,0.28
2017-07-05 00:00:00,0.06634206896551724,145,0.83,0.17
2017-07-06 00:00:00,0.16273308270676692,133,0.86,0.14
2017-07-07 00:00:00,0.09106037735849057,106,0.84,0.16
2017-07-08 00:00:00,-0.012080487804878049,41,0.78,0.22
2017-07-09 00:00:00,-0.022417647058823528,34,0.79,0.21
2017-07-10 00:00:00,0.06749516129032258,124,0.91,0.09
2017-07-11 00:00:00,0.036803,100,0.85,0.15
2017-07-12 00:00:00,0.08803248407643312,157,0.87,0.13
2017-07-13 00:00:00,0.08967659574468084,141,0.84,0.16
2017-07-14 00:00:00,0.09925086206896551,116,0.85,0.15
2017-07-15 00:00:00,0.02415531914893617,47,0.83,0.17
2017-07-16 00:00:00,-0.07265,52,0.79,0.21
2017-07-17 00:00:00,0.10880169491525424,118,0.87,0.13
2017-07-18 00:00:00,0.10182080536912752,149,0.88,0.12
2017-07-19 00:00:00,0.06832060606060605,165,0.85,0.15
2017-07-20 00:00:00,0.05137380952380952,126,0.79,0.21
2017-07-21 00:00:00,0.09153766233766233,154,0.88,0.12
2017-07-22 00:00:00,-0.020898630136986302,73,0.84,0.16
2017-07-23 00:00:00,-0.0401015625,64,0.84,0.16
2017-07-24 00:00:00,0.026325877192982457,1140,0.77,0.23
2017-07-25 00:00:00,0.13117947882736156,614,0.81,0.19
2017-07-26 00:00:00,0.10111036036036036,222,0.82,0.18
2017-07-27 00:00:00,0.031189041095890414,292,0.76,0.24
2017-07-28 00:00:00,0.028947770700636945,157,0.82,0.18
2017-07-29 00:00:00,-0.02012173913043478,23,0.87,0.13
2017-07-30 00:00:00,0.09690238095238095,42,0.9,0.1
2017-07-31 00:00:00,-0.08350700636942675,157,0.69,0.31
2017-08-01 00:00:00,0.014200854700854701,117,0.74,0.26
2017-08-02 00:00:00,-0.010898717948717948,156,0.7,0.3
2017-08-03 00:00:00,0.06930901639344263,122,0.78,0.22
2017-08-04 00:00:00,0.02972767857142857,112,0.82,0.18
2017-08-05 00:00:00,0.0008680851063829788,47,0.81,0.19
2017-08-06 00:00:00,-0.010572093023255813,43,0.79,0.21
2017-08-07 00:00:00,0.06764552238805971,134,0.82,0.18
2017-08-08 00:00:00,-0.004102352941176471,170,0.79,0.21
2017-08-09 00:00:00,-0.0909304761904762,105,0.72,0.28
2017-08-10 00:00:00,0.017055434782608694,184,0.8,0.2
2017-08-11 00:00:00,-0.01179402985074627,134,0.78,0.22
2017-08-12 00:00:00,-0.041761904761904764,21,0.81,0.19
2017-08-13 00:00:00,-0.027274074074074076,27,0.85,0.15
2017-08-14 00:00:00,0.027678378378378377,111,0.86,0.14
2017-08-15 00:00:00,0.04565046728971962,107,0.85,0.15
2017-08-16 00:00:00,0.127979375,160,0.83,0.17
2017-08-17 00:00:00,0.05865416666666667,120,0.88,0.12
2017-08-18 00:00:00,0.07451881188118811,101,0.83,0.17
2017-08-19 00:00:00,-0.058115625,32,0.84,0.16
2017-08-20 00:00:00,-0.0154,27,0.78,0.22
2017-08-21 00:00:00,0.05235222222222223,90,0.84,0.16
2017-08-22 00:00:00,0.06461192660550459,109,0.85,0.15
2017-08-23 00:00:00,0.007896402877697842,139,0.83,0.17
2017-08-24 00:00:00,0.01642280701754386,114,0.82,0.18
2017-08-25 00:00:00,0.014549999999999999,108,0.84,0.16
2017-08-26 00:00:00,0.11807619047619047,21,0.9,0.1
2017-08-27 00:00:00,-0.06007407407407408,27,0.81,0.19
2017-08-28 00:00:00,-0.009387142857142858,70,0.83,0.17
2017-08-29 00:00:00,0.13838660714285714,112,0.9,0.1
2017-08-30 00:00:00,0.0526260162601626,123,0.83,0.17
2017-08-31 00:00:00,0.18055242718446604,103,0.93,0.07
2017-09-01 00:00:00,0.05510869565217392,69,0.84,0.16
2017-09-02 00:00:00,0.112628125,32,0.88,0.12
2017-09-03 00:00:00,-0.1005391304347826,23,0.7,0.3
2017-09-04 00:00:00,-0.047125,36,0.83,0.17
2017-09-05 00:00:00,0.05462923076923077,65,0.86,0.14
2017-09-06 00:00:00,0.20492878787878788,66,0.92,0.08
2017-09-07 00:00:00,0.12968493150684932,73,0.84,0.16
2017-09-08 00:00:00,0.01305593220338983,59,0.85,0.15
2017-09-09 00:00:00,-0.21743529411764706,17,0.71,0.29
2017-09-10 00:00:00,-0.04311764705882353,17,0.76,0.24
2017-09-11 00:00:00,-0.07199492753623188,138,0.7,0.3
2017-09-12 00:00:00,-0.12649655172413793,116,0.66,0.34
2017-09-13 00:00:00,0.03166455696202532,79,0.84,0.16
2017-09-14 00:00:00,0.0703774647887324,142,0.87,0.13
2017-09-15 00:00:00,-0.042041228070175435,114,0.75,0.25
2017-09-16 00:00:00,0.019558620689655172,29,0.79,0.21
2017-09-17 00:00:00,0.19561923076923077,26,0.92,0.08
2017-09-18 00:00:00,-0.04018491620111732,179,0.72,0.28
2017-09-19 00:00:00,0.005344,100,0.73,0.27
2017-09-20 00:00:00,0.09896928104575163,153,0.87,0.13
2017-09-21 00:00:00,0.1594205,200,0.88,0.12
2017-09-22 00:00:00,-0.016105263157894737,76,0.79,0.21
2017-09-23 00:00:00,0.11765483870967743,31,0.9,0.1
2017-09-24 00:00:00,0.12232380952380953,21,0.95,0.05
2017-09-25 00:00:00,-0.012305333333333335,150,0.75,0.25
2017-09-26 00:00:00,0.00025607476635514017,107,0.8,0.2
2017-09-27 00:00:00,0.18512346368715082,179,0.89,0.11
2017-09-28 00:00:00,0.14996347826086956,115,0.9,0.1
2017-09-29 00:00:00,0.2274761904761905,105,0.92,0.08
2017-09-30 00:00:00,0.11308965517241379,29,0.9,0.1
2017-10-01 00:00:00,0.14423947368421053,38,0.89,0.11
