Date,Open,High,Low,Close,Volume,Volatility,sentiment,RSI
2019-01-02,259.28,269.7499,256.58,267.67,10715228,0.11424994016977635,-0.10024396887159533,
2019-01-03,270.2,275.79,264.43,271.91,13801524,0.029992713526134626,-0.040493540051679586,
2019-01-04,281.88,297.8,278.54,297.47,18127036,0.35914143737412585,0.07071053698074975,
2019-01-07,302.1,316.8,301.65,316.63,17137501,0.3164504455420541,0.03849979550102249,
2019-01-08,319.98,320.51,308.01,320.39,14085038,0.0073389593766914184,0.015927633069082674,
2019-01-09,317.71,323.3508,313.5,320.0,12574007,0.03659331752918535,-0.03497209612817088,
2019-01-10,314.57,325.37,312.5,324.74,12476511,0.16125259441538786,0.024419362745098042,
2019-01-11,330.84,341.09,328.52,337.9254,18241211,0.16425199151227465,-0.01837836363636364,
2019-01-14,334.24,335.48,329.13,332.67,9580536,0.01911534160456904,0.06172996632996632,
2019-01-15,349.6,357.22,347.0,354.32,19496381,0.11694687086987067,0.03913266932270917,
2019-01-16,354.0,358.85,348.11,350.7639,14108264,0.05802138818550405,0.0010188925081433225,
2019-01-17,349.5,355.79,346.41,353.82,13413692,0.07364184842814285,-0.0022259867054424593,
2019-01-18,351.97,353.0,336.73,338.92,24643106,0.40869428128510105,0.012312072575017444,
2019-01-22,334.89,336.88,321.03,324.5401,16718058,0.21989461057873927,-0.07055166835187057,
2019-01-23,328.25,331.75,318.6,321.59,12481519,0.10564143098145114,-0.08899731343283583,69.71005168770972
2019-01-24,320.6,331.8,319.0,326.8881,10475217,0.0837095624955847,-0.015056215213358069,70.92294641127681
2019-01-25,328.72,340.0,328.51,337.94,10469177,0.1226693509686624,0.003254233870967742,73.32270646987746
2019-01-28,334.7,336.3,328.88,335.53,7732010,0.008155734951469705,0.00793217054263566,71.92863820400076
2019-01-29,335.87,338.22,328.151,329.2,7075520,0.05997590374608201,-0.06873333333333333,68.2577683294499
2019-01-30,332.75,341.78,330.8,340.8901,7890146,0.08162202848075158,-0.006020388349514563,71.18272393236803
2019-01-31,339.68,345.99,338.0919,339.57,7470759,0.001044359486121046,0.024514010989010987,70.39388193326121
2019-02-01,337.0,346.84,336.5,339.21,8504260,0.02388478889202224,-0.03171005586592179,70.16552219487512
2019-02-04,342.6,352.0,341.3,351.0,8180214,0.0873245900218225,0.03513789682539682,73.22855989844219
2019-02-05,353.2,360.0,352.9,355.07,8431842,0.02003810603834728,0.03073550863723609,74.21280506922983
2019-02-06,357.0,357.04,347.19,352.03,6325863,0.03995478286963178,0.05676141552511416,72.08114908302957
2019-02-07,348.46,348.75,339.02,344.3599,7318278,0.03813255946760643,0.014871080139372822,66.86277962176734
2019-02-08,338.0,348.0,338.0,347.4,7031801,0.08400149769536812,0.06395294117647059,67.85608640488402
2019-02-11,350.0,352.87,344.81,345.84,4818110,0.025471976513040152,0.0028623255813953487,66.75037335145025
2019-02-12,348.09,359.69,346.52,359.62,9469281,0.13875189260952486,0.2359731707317073,71.21272230006528
2019-02-13,357.3,359.6,350.28,351.67,9639751,0.06897104638340308,0.009749160671462831,65.73178567661404
2019-02-14,351.75,360.45,348.33,359.66,8616853,0.08661991867600148,0.060736684303350975,68.36692138905075
2019-02-15,358.47,364.4,355.5,356.5161,8575970,0.021295026754789392,-0.01935238095238095,66.20948331479019
2019-02-19,355.8,365.0,355.32,362.1,6739016,0.05395474458405105,0.056446699266503676,68.13296294804906
2019-02-20,364.85,366.71,356.7,359.99,7661049,0.04731699038683012,-0.03724837545126354,66.59043126254942
2019-02-21,360.03,362.85,353.88,356.91,5954159,0.023608458223697133,-0.007397938144329897,64.30191669671994
2019-02-22,360.34,366.13,360.05,363.01,6615591,0.02244773429286144,0.05836163682864452,66.73989204440659
2019-02-25,367.01,371.49,363.79,363.92,7085610,0.027824561451119303,0.08091749999999999,67.10085716157654
2019-02-26,363.0,365.7,359.33,364.96,4556516,0.011349626637294576,0.0012578947368421054,67.53450800882601
2019-02-27,363.5,367.75,359.8,362.8,5032455,0.004476829392628203,-0.0318725925925926,65.60045850360136
2019-02-28,362.47,366.39,357.709,357.9,5355626,0.031104200687551625,0.03679169054441261,61.31095580977546
2019-03-01,362.26,362.87,354.6915,357.16,5147012,0.03335937926622082,-0.05951342756183746,60.6658004268208
2019-03-04,359.72,362.25,348.0436,351.2,6442582,0.06975770012176485,-0.009896005944640535,55.591953108660555
