,sentiment,totalScores,positive,negative
2017-06-20 00:00:00,0.047142857142857146,7,0.71,0.29
2017-06-21 00:00:00,-0.05809526315789474,190,0.73,0.27
2017-06-22 00:00:00,0.09473421052631578,152,0.86,0.14
2017-06-23 00:00:00,0.19800467289719625,321,0.89,0.11
2017-06-24 00:00:00,-0.044560526315789474,38,0.79,0.21
2017-06-25 00:00:00,0.16005,32,0.88,0.12
2017-06-26 00:00:00,0.09226336633663366,202,0.85,0.15
2017-06-27 00:00:00,-0.06339863636363637,220,0.73,0.27
2017-06-28 00:00:00,0.04194863387978142,183,0.79,0.21
2017-06-29 00:00:00,0.10152188841201716,233,0.83,0.17
2017-06-30 00:00:00,0.06970143884892085,139,0.78,0.22
2017-07-01 00:00:00,0.045571428571428575,28,0.89,0.11
2017-07-02 00:00:00,-0.041924137931034486,29,0.76,0.24
2017-07-03 00:00:00,-0.01949858156028369,141,0.69,0.31
2017-07-04 00:00:00,-0.049550000000000004,66,0.74,0.26
2017-07-05 00:00:00,0.03091875,112,0.75,0.25
2017-07-06 00:00:00,0.07264558823529411,136,0.76,0.24
2017-07-07 00:00:00,0.11032614379084967,153,0.83,0.17
2017-07-08 00:00:00,-0.03522553191489362,47,0.83,0.17
2017-07-09 00:00:00,0.04000212765957447,47,0.85,0.15
2017-07-10 00:00:00,0.10905379310344827,145,0.86,0.14
2017-07-11 00:00:00,0.08575146198830409,171,0.8,0.2
2017-07-12 00:00:00,0.06449444444444444,234,0.78,0.22
2017-07-13 00:00:00,-0.002793421052631579,228,0.76,0.24
2017-07-14 00:00:00,0.013586149584487535,361,0.75,0.25
2017-07-15 00:00:00,0.07002330097087378,103,0.86,0.14
2017-07-16 00:00:00,-0.044515217391304346,92,0.74,0.26
2017-07-17 00:00:00,0.024682510524301572,2613,0.75,0.25
2017-07-18 00:00:00,0.042560647991900104,2963,0.71,0.29
2017-07-19 00:00:00,0.026358223394898857,1137,0.71,0.29
2017-07-20 00:00:00,-0.050751315789473686,608,0.68,0.32
2017-07-21 00:00:00,0.0632170588235294,850,0.73,0.27
2017-07-22 00:00:00,0.006472268907563025,119,0.78,0.22
2017-07-23 00:00:00,0.02546829268292683,82,0.74,0.26
2017-07-24 00:00:00,0.01988409090909091,440,0.74,0.26
2017-07-25 00:00:00,0.030178975741239893,371,0.75,0.25
2017-07-26 00:00:00,0.1238091811414392,403,0.8,0.2
2017-07-27 00:00:00,0.008690521978021977,728,0.68,0.32
2017-07-28 00:00:00,-0.07480482954545455,352,0.64,0.36
2017-07-29 00:00:00,0.00396,50,0.82,0.18
2017-07-30 00:00:00,-0.050756363636363634,55,0.73,0.27
2017-07-31 00:00:00,-0.06069254901960784,255,0.69,0.31
2017-08-01 00:00:00,-0.01780162601626016,246,0.75,0.25
2017-08-02 00:00:00,-0.04449320987654321,324,0.68,0.32
2017-08-03 00:00:00,-0.06721638655462185,238,0.68,0.32
2017-08-04 00:00:00,0.04221867469879518,166,0.81,0.19
2017-08-05 00:00:00,0.0230375,48,0.79,0.21
2017-08-06 00:00:00,-0.04609107142857143,56,0.88,0.12
2017-08-07 00:00:00,0.0818153024911032,281,0.79,0.21
2017-08-08 00:00:00,-0.03417441386340469,981,0.76,0.24
2017-08-09 00:00:00,-0.032764979338842974,968,0.73,0.27
2017-08-10 00:00:00,-0.06284154175588866,467,0.69,0.31
2017-08-11 00:00:00,0.04810650406504065,246,0.77,0.23
2017-08-12 00:00:00,-0.007972307692307692,65,0.72,0.28
2017-08-13 00:00:00,0.0300375,64,0.83,0.17
2017-08-14 00:00:00,0.0004722222222222222,306,0.76,0.24
2017-08-15 00:00:00,0.04440559701492538,268,0.76,0.24
2017-08-16 00:00:00,0.0224936,375,0.74,0.26
2017-08-17 00:00:00,-0.001494736842105263,209,0.74,0.26
2017-08-18 00:00:00,0.06122987012987013,231,0.76,0.24
2017-08-19 00:00:00,-0.05875555555555556,36,0.75,0.25
2017-08-20 00:00:00,0.04635961538461538,52,0.79,0.21
2017-08-21 00:00:00,0.06355931034482759,145,0.78,0.22
2017-08-22 00:00:00,0.08452406417112299,187,0.82,0.18
2017-08-23 00:00:00,0.10281601423487545,281,0.79,0.21
2017-08-24 00:00:00,0.04867105263157895,190,0.77,0.23
2017-08-25 00:00:00,0.022360365853658536,164,0.78,0.22
2017-08-26 00:00:00,-0.029203333333333335,30,0.8,0.2
2017-08-27 00:00:00,4.2857142857142856e-05,42,0.88,0.12
2017-08-28 00:00:00,-0.04789776119402985,134,0.73,0.27
2017-08-29 00:00:00,0.06474736842105262,190,0.81,0.19
2017-08-30 00:00:00,0.07818006872852233,582,0.76,0.24
2017-08-31 00:00:00,0.1231041935483871,310,0.8,0.2
2017-09-01 00:00:00,0.12167666666666667,210,0.8,0.2
2017-09-02 00:00:00,0.08298124999999999,48,0.9,0.1
2017-09-03 00:00:00,0.05922156862745098,51,0.78,0.22
2017-09-04 00:00:00,-0.003168627450980392,51,0.86,0.14
